year_month,total_tweets,positive,negative,neutral,negative_percentage
2024-01,52,18,28,6,53.84615384615385
2024-02,23,5,16,2,69.56521739130434
2024-03,26,10,11,5,42.30769230769231
2024-04,12,1,9,2,75.0
2024-05,16,3,9,4,56.25
2024-06,31,8,16,7,51.61290322580645
2024-07,14,5,9,0,64.28571428571429
2024-08,37,7,26,4,70.27027027027027
2024-09,11,2,6,3,54.54545454545454
2024-10,10,4,6,0,60.0
2024-11,44,21,17,6,38.63636363636363
2024-12,39,11,23,5,58.97435897435898
