"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1745270971714752823","Thu Jan 11 02:26:41 +0000 2024","0","(1) Orang sering bilang kalau tanah jakarta turun karena bangunan tinggi nyatanya salah. Bangunan tinggi itu pake pondasi dalam yang kedalamannya itu sampai ke tanah keras (hard strata) sehingga ngga/minimal menyebabkan settlement (penurunan)","1745270977318297788","","poopepie2","in","","0","1","0","https://x.com/undefined/status/1745270977318297788","1302897169163153409",
"1745265300403277880","Thu Jan 11 02:04:07 +0000 2024","1","Sebelum bangun tanggul laut raksasa Kementerian PUPR terus mengamati penurunan permukaan tanah akibat kenaikan permukaan air laut di DKI Jakarta. https://t.co/WpDe91XOQA","1745265300403277880","","","in","","0","0","0","https://x.com/undefined/status/1745265300403277880","23343960",
"1745249569909391661","Thu Jan 11 01:01:41 +0000 2024","0","Salah satu penyebab penurunan muka tanah (land subsidence) di jakarta itu gara2 ekstraksi air tanah secara berlebihan. Emg apa hubungannya? Gini ya penggunaan air tanah di jkt itu jumlahnya lbh besar dari kemampuan pengisian kembali air tanah secara alami.","1745249586070135079","","ulya_rahmalia","in","","0","1","0","https://x.com/undefined/status/1745249586070135079","1319319463951360000",
"1745057902497243440","Wed Jan 10 16:04:18 +0000 2024","4","@txttransportasi Alhamdulillah sampe Harmoni dulu tp memang harus di akui dr Harmoni sampe Jakarta Kota itu fase rumit dr segi precast sampai faktor penurunan tanah di arah Utara agak bikin pengerjaannya jadi lebih lama dr yg ada di tengah kota","1745114349675720865","","txttransportasi","in","","0","1","0","https://x.com/undefined/status/1745114349675720865","132091697",
"1744985239724884340","Wed Jan 10 07:53:46 +0000 2024","4","@tvOneNews Perencanaan awal Giant Great Wall di sekitaran Jakarta ko jadi dipindah ke Pantura atau emang Jakarta srgaja mo dibiarin tenggelam karena abrasi dan penurunan muka air tanah ?","1744990904023445968","","tvOneNews","in","","0","0","0","https://x.com/undefined/status/1744990904023445968","1722605185107972096",
"1744982947919446287","Wed Jan 10 07:22:09 +0000 2024","1","Akibat Penurunan Muka Tanah Jakarta Bisa Rugi Rp 10 Triliun https://t.co/TmHWQ18EtI #Bisnis","1744982947919446287","","","in","","0","0","0","https://x.com/undefined/status/1744982947919446287","47596019",
"1744350889589240267","Mon Jan 08 13:30:35 +0000 2024","0","Menjelang pemilu para pedagang konveksi yang beroperasi di Pasar Tanah Abang dan PD Jaya Pasar Senen Jakarta mengaku mengalami penurunan omset https://t.co/8rOsf3Dydi","1744350889589240267","","","in","","0","0","0","https://x.com/undefined/status/1744350889589240267","874558344593195008",
"1743300463918010515","Sat Jan 06 14:24:52 +0000 2024","0","@Kupang458869 @dymszy @el_kaezzar @HerryDharmawan @thedufresne Wkwkwkwk..Jakarta bisa tenggelam krn penurunan permukaan tanah. Banyak warga masih mengambil air tanah sebagai kebutuhan sehari-hari. Jadinya permukaan tanah bisa turun. Maka dibuatlah sumur resapan agar air masuk ke tanah bisa sebagai sumber air dan mengurangi penurunan tanah.","1743639777981661566","","Kupang458869","in","","0","0","0","https://x.com/undefined/status/1743639777981661566","55182219",
"1742740667456246093","Thu Jan 04 16:50:33 +0000 2024","0","@are_inismyname @Ndons_Back @bengkeldodo @zarryhendrik @P4P4B0W0_2024 @seeksixsuck @kurawa @BANGSAygSUJUD @florieliciouss @Kimberley_2024 @Alie_Fahnoor seinget saya ada informasi bahwa penurunan muka tanah jakarta itu salah satu penyebab utamanya adalah ekstraksi air tanah. oleh karena itu ekstraksi air tanah harus dikurangi. itulah pentingnya pengolahan air permukaan.","1742951661314924732","","are_inismyname","in","","0","0","0","https://x.com/undefined/status/1742951661314924732","1622926379703750657",
"1742486559948247421","Thu Jan 04 10:42:11 +0000 2024","0","@ajibams @Di4rmenK @tvOneNews @tomlembong @RosanRoeslani @ArsjadRasjid @sociotalker @PuteriKomarudin @TamaSLangkun IKN selain utk merubah paradigma Jawa mjd Indonesia sentris jg utk mengantisipasi daya dukung Jakarta yg tentu ada batasnya https://t.co/6Ts8ITXwfk coba silahkan cari data2 brp laju penurunan permukaan tanah tingkat abrasi pantai polusi udara kemacetan dll biar belajar","1742858958635941895","","ajibams","in","","0","2","0","https://x.com/undefined/status/1742858958635941895","1603521097827094529",
"1742495331429040466","Thu Jan 04 06:49:09 +0000 2024","0","@Kimberley_2024 @76_nmlsga Ya memang sumur resapan hanya salah satu cara mengurangi debit air yang langsung masuk ke sungai dan jg sebagai sarana menyimpan air dikala musim kemarau. Jg utk mengurangi resiko penurunan permukaan tanah. Apalagi Jakarta yg kondisi permukaan tanahnya dibawah air laut","1742800315920064956","","Kimberley_2024","in","","0","2","0","https://x.com/undefined/status/1742800315920064956","1316672563091652609",
"1742369433455407213","Wed Jan 03 05:13:02 +0000 2024","0","@Gyuvian @leadjungwon @xhenquanrui Setiap zhanrghao dikatain boti tanah Jakarta ambles 5 meter.","1742413740405047477","","Gyuvian","in","","1","1","0","https://x.com/undefined/status/1742413740405047477","1453612933",
